"continent","country","total_arrivals"
"Africa","Egypt",48241
"Africa","South Africa",35271
"Africa","Mauritius",31597
"Africa","Sudan",23885
"Africa","Morocco",21168
"Antarctica","South Georgia and the South Sandwich Islands",7
"Antarctica","Antarctica",5
"Antarctica","Bouvet Island",1
"Antarctica","Heard Island and McDonald Islands",1
"Asia","Singapore",26070256
"Asia","Indonesia",6289138
"Asia","Thailand",4432557
"Asia","China",2366398
"Asia","Brunei",1703466
"Europe","United Kingdom",569834
"Europe","France",247800
"Europe","Germany",245642
"Europe","Russia",208590
"Europe","Netherlands",134893
"North America","United States",451597
"North America","Canada",141556
"North America","Mexico",16406
"North America","St. Kitts and Nevis",1839
"North America","Costa Rica",1654
"Oceania","Australia",675519
"Oceania","New Zealand",86296
"Oceania","Fiji",4002
"Oceania","Vanuatu",2150
"Oceania","Papua New Guinea",1802
"South America","Brazil",26561
"South America","Argentina",11514
"South America","Chile",6116
"South America","Colombia",4636
"South America","Peru",3681
