"year","country","total_arrivals"
"2020","Singapore",2777821
"2020","Indonesia",792231
"2020","Thailand",537336
"2020","China",394813
"2020","India",201631
"2020","Brunei",187788
"2020","South Korea",140362
"2020","Japan",98775
"2020","Philippines",97011
"2020","Australia",85148
"2021","Thailand",319365
"2021","Indonesia",20048
"2021","Singapore",17692
"2021","China",15555
"2021","India",14485
"2021","Bangladesh",8061
"2021","Philippines",7840
"2021","Japan",6817
"2021","South Korea",5348
"2021","Pakistan",5183
"2022","Singapore",8389031
"2022","Indonesia",1742038
"2022","Thailand",1213634
"2022","India",472326
"2022","Brunei",398291
"2022","China",294311
"2022","Bangladesh",239144
"2022","Philippines",234363
"2022","Vietnam",200122
"2022","South Korea",187941
"2023","Singapore",14885712
"2023","Indonesia",3734821
"2023","Thailand",2362222
"2023","China",1661719
"2023","Brunei",1113225
"2023","India",930548
"2023","Bangladesh",635545
"2023","Philippines",510580
"2023","South Korea",444660
"2023","Australia",409096
