"country","total_arrivals","population","latitude","longitude"
"Singapore",26070256,5832387,1.352083,103.819836
"Indonesia",6289138,283487931,-0.789275,113.921327
"Thailand",4432557,71668011,15.870032,100.992541
"China",2366398,1419321278,35.86166,104.195397
"Brunei",1703466,462721,4.535277,114.727669
"India",1618990,1450935791,20.593684,78.96288
"Bangladesh",940420,173562364,23.684994,90.356331
"Philippines",849794,115843670,12.879721,121.774017
"South Korea",778311,51717590,35.907757,127.766922
"Vietnam",675651,100987686,14.058324,108.277199
"Australia",675519,26713205,-25.274398,133.775136
"United Kingdom",569834,69138192,55.378051,-3.435973
"Japan",556659,123753041,36.204824,138.252924
"United States",451597,345426571,37.09024,-95.712891
"Taiwan",441038,23213962,23.69781,120.960515
"Nepal",380234,29651054,28.394857,84.124008
"Pakistan",287826,251269164,30.375321,69.345116
"Myanmar",270089,54500091,21.913965,95.956223
"France",247800,66548530,46.227638,2.213749
"Germany",245642,84552242,51.165691,10.451526
